TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
104.704000000,0.387833,0.190183,0.448232,1.48065,0.0515908,0.0844894,0.687744,0.146773,2.7258,0.0693868,0.000353791,0.657392
104.746666667,0.0391357,0.159115,0.368997,1.82658,0.13932,0.0683273,0.658983,0.14075,2.6199,0.0496705,0.000728339,1.05328
104.789333333,0,0.133752,0.299916,2.01167,0.123674,0.0713299,0.592247,0.121589,2.52697,0.0604186,0.000727209,1.41249
104.832000000,0,0.106708,0.308419,2.01295,0.0701723,0.0529206,0.531627,0.0907227,2.63915,0.0875651,0.00060008,1.63382
104.874666667,0,0.0503627,0.221237,1.80242,0,0.0391141,0.452962,0.13658,2.91806,0.130756,0.0223683,1.83012
104.917333333,0,0,0.0641543,1.83738,0.000275814,0,0.328456,0.556216,3.14524,0.159053,0.0371571,1.95011
104.960000000,0,0,0.061882,2.29484,0.000723105,0,0.563272,0.54919,2.89017,0.163544,0.0440187,2.15629
105.002666667,0.195186,0.000691079,0.152702,2.39999,0,0.0668344,0.70166,0.348137,2.78918,0.175837,0.0255708,2.05887
105.045333333,0.907157,0.0188971,0.24144,2.31971,0,0.162519,0.613895,0.222826,2.88979,0.105337,0.190978,1.54141
105.088000000,1.38517,0.0954197,0.263359,2.3845,0.00786549,0,0.534283,0.0381033,3.18341,0.0874676,0.218224,0.946385
105.130666667,2.1064,0.0833533,0.162711,2.22184,0.117124,0.00979235,0.0705511,0.145116,3.132,0.0805587,0,0.0615675
105.173333333,1.54553,0.0996748,0.177055,2.08566,0.104725,0.0274948,0.091445,0.134039,2.98457,0.11053,0,0.365076
105.216000000,1.23912,0.114069,0.196975,1.95563,0.136687,0.0192748,0.0649457,0.149577,3.17732,0.0782076,0,0.743774
105.258666667,0.955241,0.114363,0.173613,2.05743,0.114327,0.0218167,0.0306525,0.113769,3.30389,0.059057,0.00381204,1.4002
105.301333333,0.881322,0.11937,0.117603,2.17056,0.0499838,0.0332807,0,0.0483952,3.19149,0.0822111,0.00483892,1.88915
