TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
209.088000000,-301.995,12.6045,40.6438,24.913,-10.6263,11.9005,-0.619842,2.04123,0.142607,3.47723,-1.09708,3.8285,3.25822,7.94653,0.326484,-3.04532,0.639126,0.35857,1.74175,2.37906,2.27165
209.109333333,-312.457,20.8403,36.0485,24.012,-11.9937,15.5263,-4.38834,5.02553,-4.6613,5.22151,-1.80517,4.39588,1.08069,9.27667,-0.819849,-1.37007,-0.37765,1.83821,3.02532,2.47629,-0.66162
209.130666667,-319.572,24.9296,35.9674,21.7416,-12.436,15.6294,-2.26469,1.26643,-6.21362,6.10019,-2.96458,4.17074,1.20374,7.49205,1.32826,-1.13698,-1.34835,-0.6724,2.11133,3.95399,1.13285
209.152000000,-320.381,25.5621,38.2495,17.8474,-12.5511,15.9196,-3.54058,2.54966,-2.27931,1.92147,-6.27038,4.61245,2.30638,7.83944,-1.1466,-0.69034,-2.87945,2.27941,1.49591,3.13964,-0.451238
209.173333333,-326.131,27.8022,39.7714,15.0728,-11.4516,14.3956,-4.38802,3.01437,-2.63944,0.813965,-4.10603,4.06152,0.243613,6.34395,-1.42347,-0.969202,-0.382708,2.92048,0.383863,1.45072,-2.0799
209.194666667,-254.028,8.65661,16.7885,4.06027,-5.15372,20.8282,-3.21495,-1.02865,0.923776,0.17952,-7.75706,-1.03565,1.42137,4.69071,0.664772,0.257759,-0.576765,0.937054,0.201813,-1.05905,0.145697
209.216000000,-269.69,-4.92587,29.0994,24.1913,-12.6751,8.83283,-3.35149,1.41005,-4.2408,0.0694668,-7.18964,3.89742,-0.839504,5.11188,-1.27656,-2.12685,-0.23941,-0.775707,-1.14677,2.00855,-0.317562
209.237333333,-275.668,4.18318,25.8598,18.7839,-13.3045,15.5756,-6.81701,0.727406,-3.87854,2.82283,-4.21131,3.60303,-4.21116,3.69451,0.885136,0.259123,1.79025,-2.7178,-2.10553,0.516311,1.0752
209.258666667,-287.518,3.5032,36.515,19.5738,-12.4587,10.8691,-3.77589,-0.651183,-0.486904,1.85386,-2.49245,1.23931,-0.952844,4.865,-1.294,-2.70511,2.84235,0.719716,0.998717,-0.404083,0.258973
209.280000000,-292.768,2.77285,41.3289,20.7025,-12.8547,10.9424,-1.67694,-2.39096,-2.5172,0.52144,-0.799941,3.24914,-0.190099,5.04055,-0.94242,-4.24816,0.362644,1.60204,1.23758,1.55524,-0.757553
209.301333333,-298.688,8.48236,43.0635,18.1639,-14.1885,10.496,0.173275,-1.63231,-2.35355,-1.41548,-1.77697,3.07419,1.53306,6.1751,-1.82142,-4.11666,-0.224062,0.836766,-0.5551,2.53158,1.26044
209.322666667,-306.855,11.6611,43.4443,20.4673,-13.376,10.0265,-3.44287,0.31836,-3.59985,0.787517,-1.65667,2.03846,1.18266,5.42487,-0.307648,-3.40534,-1.62104,0.0135672,2.39676,1.20785,-0.401989
209.344000000,-308.078,15.8634,38.5961,21.4899,-13.062,11.92,-2.52596,0.0977834,-6.25877,0.794961,-3.60831,4.8136,0.373819,6.66286,-1.55451,-3.4467,-1.52696,1.13346,1.26699,1.1855,-0.931319
209.365333333,-311.774,19.2373,41.531,15.7065,-13.7632,9.6796,-0.617403,-0.608941,-2.94332,-0.159267,-3.56938,3.14082,2.5971,4.91724,-0.344524,-2.5993,-0.0452486,-1.13395,1.61774,2.57538,-0.688228
209.386666667,-319.866,20.8823,40.6532,19.6473,-11.7406,11.7712,-5.47611,-0.578508,-3.08233,1.76019,-4.4319,3.07182,2.13439,5.81433,-1.01306,-4.4677,-0.66442,0.667955,2.27201,1.15321,0.271227
209.408000000,-326.335,23.2122,40.7891,19.6472,-11.4218,13.4064,-4.93588,-0.93706,-5.41877,1.0871,-2.62803,4.71992,2.97615,3.40255,-2.06071,-4.60947,-0.470536,2.35494,1.74002,1.90151,0.963576
209.429333333,-324.331,28.4018,36.5549,11.9058,-5.8164,11.7271,-3.27833,-0.410188,-2.17711,-1.44001,-3.16519,2.42765,1.91641,6.46776,-0.0746209,-5.15153,0.138539,0.348897,0.0658977,2.38754,2.09316
209.450666667,-204.975,10.403,7.88269,7.98329,-3.02214,12.0764,-1.75128,10.7198,3.76154,1.60532,-2.53699,5.69823,-1.93866,3.93045,-2.97014,-3.37332,-1.53563,1.57852,1.09171,1.76908,-1.12504
209.472000000,-241.828,11.4385,7.53676,16.179,-3.7664,19.566,-4.51416,11.1513,2.51743,5.2969,-3.33976,9.82916,-1.69834,9.56159,0.0915208,2.39206,-0.489034,4.33116,-0.980342,1.64777,-3.01728
209.493333333,-248.158,14.4826,8.15316,15.8639,-6.16172,20.1967,-5.64562,9.5969,-0.636712,7.84898,-1.24265,9.02611,-3.45755,7.7558,0.460019,2.4182,0.0937887,2.3261,-0.0773844,3.40753,-0.874416
209.514666667,-269.209,12.8665,19.9518,15.6809,-8.72786,22.4401,-5.91143,6.05513,2.52895,9.47626,-5.71051,6.60277,-0.886287,9.46959,-3.25525,2.1586,1.09245,5.63651,0.564747,3.70262,-2.55302
209.536000000,-281.822,12.8391,28.414,17.4346,-8.72385,23.2421,-3.47124,2.33382,0.105251,6.55513,-5.39815,6.97368,2.35517,9.57888,-2.56149,0.848575,0.476546,6.66256,-2.05764,2.53847,-3.11047
209.557333333,-298.48,21.0249,30.5488,15.6174,-6.03322,20.2468,-4.35693,3.71372,1.12924,3.42969,-5.43216,7.8021,2.68681,9.56551,-3.85634,0.0941556,0.46645,6.32625,-0.403161,3.10759,-0.625386
209.578666667,-291.403,16.7476,27.9001,23.3209,-5.02079,15.2972,-6.61138,4.3564,-1.91211,5.80006,-2.7572,6.58472,-1.64422,8.75491,-0.6605,-0.299909,-0.997075,4.98507,1.03003,1.77526,-3.09459
209.600000000,-294.367,21.3025,22.8629,24.2614,-3.12542,12.8925,-9.19694,5.6455,-2.57946,3.17787,-0.468874,7.22588,-2.21902,7.62651,-0.446738,-0.478038,-0.372778,2.75725,1.4944,-0.228069,-0.500699
209.621333333,-296.069,21.9087,17.3627,26.5554,0.500345,9.89515,-8.7037,5.23568,-3.91299,3.83822,-1.33685,4.53472,0.800099,7.5573,-0.48409,-1.65532,1.03547,1.00333,1.07749,2.87238,-2.06576
209.642666667,-296.68,23.2081,14.8067,25.1192,1.07493,7.99344,-6.20168,7.65361,-3.46552,1.75879,-5.19702,4.92666,1.23992,8.19617,0.518515,-2.38118,-0.411258,2.01451,1.36165,-0.612993,-1.08921
209.664000000,-299.165,21.149,14.1577,30.1885,-0.239627,1.39495,-7.593,10.2161,-3.35044,2.5505,-1.14314,2.79353,-2.63558,4.88898,0.471354,1.45829,-0.483215,1.74829,0.861918,1.59772,-1.36418
209.685333333,-235.038,4.93167,20.1954,16.6332,-3.53676,7.96868,-4.52671,2.21088,-3.57099,-3.16803,-4.20686,0.454267,-0.448783,2.55242,-1.14201,-1.29697,-2.74508,0.386096,0.75882,0.202112,1.09007
209.706666667,-248.614,4.66071,21.0855,30.9616,-2.38161,8.61676,-11.148,3.42777,-3.21053,-3.59348,-6.88311,4.3767,-3.60428,3.2601,-4.35203,-1.17924,-2.49611,0.0195165,-2.22695,1.87817,-2.83149
209.728000000,-258.763,6.24524,19.0838,32.6218,1.85865,8.37064,-12.0326,2.91383,-2.92354,-1.59799,-7.09386,3.55929,-6.51051,4.62192,-2.53034,-3.30953,-3.38477,-1.78139,-1.74034,5.64674,-1.22052
209.749333333,-260.995,7.96271,17.7041,32.6901,-1.50487,8.63778,-11.9607,6.01282,-4.24485,0.969315,-6.83015,3.45556,-8.73266,4.83805,-4.91693,0.130695,-3.40818,3.26753,-1.89239,2.55158,-2.29334
209.770666667,-265.764,10.8021,15.6126,32.8019,-1.34809,6.63058,-14.1402,6.03101,-3.83829,1.89563,-6.55323,2.09625,-6.55557,4.74122,-3.5529,-1.1472,-2.60678,2.6544,-0.452516,2.53411,-2.50856
209.792000000,-288.668,14.2381,31.3223,25.8399,-10.2095,6.97119,-11.919,3.44832,-1.78749,1.10869,-5.16424,4.15949,-4.64915,5.60816,-4.96,-2.44988,-3.67368,2.01973,-2.66724,3.51554,-2.72826
209.813333333,-299.011,17.8275,33.5492,27.2619,-14.2532,8.81178,-8.74315,4.43889,-4.93799,2.01144,-4.13295,7.67647,-1.83675,4.77897,-4.29295,-1.26763,-2.90983,-0.025011,-0.992874,1.60658,-3.69234
209.834666667,-303.232,18.5003,32.0517,23.2692,-8.37129,10.0892,-9.1544,2.14644,-3.52716,3.24783,-3.56333,6.70289,-0.793112,5.6648,-1.37143,-3.88714,-2.53772,1.51935,-2.15148,-1.08157,-2.01505
209.856000000,-309.603,22.3765,29.9853,24.6188,-8.66028,8.16583,-7.55041,4.5284,-4.93139,-0.806566,-5.21977,7.76219,-0.889361,5.78443,0.186667,-1.8238,-2.56548,-0.366452,1.28971,1.87565,-2.70815
209.877333333,-313.343,21.6252,31.2417,25.3514,-7.45329,8.09703,-7.76179,7.58952,-5.49204,-3.17802,-4.46619,5.83212,-0.507976,6.90466,-1.21912,-1.4628,-2.65334,1.48672,-1.36209,1.96616,-1.52404
209.898666667,-314.515,20.1058,26.656,26.3262,-4.80737,5.03623,-8.31778,7.17494,-2.76711,-0.70281,-3.78792,6.13759,0.283148,4.91233,-1.75643,-2.34184,-1.99047,1.87403,2.42271,3.316,-3.53736
209.920000000,-277.434,21.8697,10.5282,11.2023,-0.238868,5.60891,0.00859684,0.244748,-1.87766,-1.20562,0.305135,1.31512,0.611464,1.9842,2.07178,-0.808926,0.527633,-0.156488,-0.330398,-1.42415,-1.33987
209.941333333,-250.067,0.265963,31.0137,20.9324,-4.48307,14.4147,3.02897,3.2055,2.1467,5.97812,0.277979,3.8853,-0.720329,4.02425,-1.54849,0.187203,2.53421,1.62308,-1.0985,1.59761,-1.77405
209.962666667,-283.863,-0.549206,34.9223,28.5489,-7.6415,11.6344,0.454433,7.42238,1.25449,6.5769,1.57957,8.95592,1.72201,6.99094,1.99093,2.72526,2.30256,0.646418,-1.7823,-0.174198,-2.10356
209.984000000,-291.002,4.72214,36.0206,30.3436,-11.5982,12.4329,-3.6957,6.83167,1.02074,8.37524,-0.194465,10.5608,-0.300958,8.98653,0.0762608,-0.632754,0.433864,0.983096,0.468035,0.965537,-3.80787
210.005333333,-292.875,5.46045,34.0039,29.7502,-10.1451,16.7833,-5.15473,5.4604,-2.15073,5.16497,-1.21291,11.7418,3.2821,8.5368,-0.424451,0.605496,-3.65717,2.14846,-0.454145,3.55871,-1.85252
210.026666667,-296.455,10.6968,38.5144,27.7366,-11.0881,12.5244,-4.57337,7.45376,2.31358,1.74484,-3.30325,11.1375,2.22493,8.17319,-3.73434,-0.197935,-1.15798,5.69823,-1.43804,2.52164,-2.75321
210.048000000,-308.412,17.63,38.4185,27.2247,-6.74523,10.5087,-4.83616,8.01427,-0.520604,1.17649,-0.930152,8.09535,-1.02868,7.6876,-2.76061,-0.0297544,0.751401,4.91112,-1.01409,3.50709,-0.337913
210.069333333,-303.687,9.77376,40.2408,28.9621,-3.22965,5.64202,-4.2806,5.18644,1.6899,-0.0967379,-1.01405,5.71628,0.640848,4.09795,1.01308,-0.27186,0.438747,2.42658,1.64112,2.90065,0.593073
210.090666667,-313.192,16.9204,36.4429,26.1695,-5.79151,10.4938,-5.80988,6.13067,-1.16786,1.07863,-5.0553,8.05804,1.16047,4.86695,-1.57264,1.26976,-0.867459,2.6286,1.79148,3.31726,-2.05304
