TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
201.642666667,1.13511,1.38762,0.232964,0.18984,0.269424,0.0681577,2.94653,0.0405372,0.62873,0.173192,0.384124,0.263849
201.685333333,1.0387,1.3689,0.279261,0.179543,0.261305,0.0662612,2.90147,0.0398862,0.582253,0.162964,0.518321,0.27143
201.728000000,0.848563,1.30601,0.381807,0.127976,0.102161,0.0630341,2.99275,0.038911,0.406863,0.137959,0.666114,0.360332
201.770666667,0.285646,1.8857,0.341618,0.0538563,0,0.0355975,3.49846,0.053428,0.258142,0.0942396,0.623378,0.290047
201.813333333,0.0948059,1.98991,0.222138,0,0,0.422433,3.96948,0.0684477,0.0432739,0.140484,0.53445,0.0175884
201.856000000,0,2.67695,0.1451,0,0.0228466,2.02694,2.98061,0.0744706,0.419879,0.125333,0.535452,0
201.898666667,0,3.18478,0.173975,0,0.0559316,2.94813,1.52414,0.0621417,0.950914,0.115914,0.30359,0.00733846
201.941333333,0,3.52091,0.113322,0,0.0410375,3.23743,0.538281,0.0648796,1.39032,0.110998,0.151952,0.0452302
201.984000000,0,3.62834,0.00355623,0,0.0577516,3.49113,0.538095,0.0612403,1.70509,0.00497768,0,0.0464114
202.026666667,0.177041,3.68612,0.175675,0.0216191,0.102932,3.02243,0.455981,0,1.56875,0.103487,0.296776,0.183687
202.069333333,0.194488,3.78409,0.0170753,0.0528962,0.150713,1.8912,0.967898,0.144588,1.65986,0.165476,0.219764,0.291154
202.112000000,0.127008,3.64795,0.0254688,0.0843225,0.152313,1.06697,1.21807,0.0932444,1.88337,0.167815,0.242155,0.341968
202.154666667,0.0483533,3.60055,0.0290761,0.063568,0.14574,0.831616,1.29873,0,1.96788,0.169351,0.281271,0.356561
202.197333333,0.0120109,3.66406,0.0243435,0.0248231,0.0946238,1.04291,1.2425,0,1.91023,0.143467,0.310151,0.352814
202.240000000,0,3.90207,0,0,0.0883821,1.4922,0.94699,0,2.14687,0.0450675,0.563452,0.317994
202.282666667,0,3.76504,0.299637,0,0,1.72723,0.67807,0.0140341,2.42692,0.0764097,0.340433,0.0831594
202.325333333,0,3.76649,0.274019,0,0,1.98562,0.523019,0.0391702,2.42698,0.105989,0.205075,0.0737447
202.368000000,0,3.7559,0.23053,0,0,2.04292,0.520655,0.0466158,2.28489,0.110471,0.135774,0.0747388
202.410666667,0,3.77659,0.199199,0,0,2.07087,0.527973,0.0299897,2.33112,0.109044,0.1278,0.0736654
202.453333333,0,3.78863,0.197466,0,0,2.07702,0.524762,0.00800933,2.406,0.100959,0.125413,0.0676419
202.496000000,0.00642128,3.50568,0.201092,0,0.0994597,1.70682,0.680877,0.102166,2.31618,0.239874,0.0384828,0.104205
202.538666667,0.357428,3.08321,0.307077,0,0.145991,1.31997,0.260998,0.281087,2.10987,0.225103,0.120368,0.228534
202.581333333,0.576508,2.99229,0.150052,0.00887169,0.197267,1.13594,0.355066,0.142592,2.15607,0.230676,0.158427,0.31773
202.624000000,0.615445,2.90659,0.173911,0.0905921,0.336714,1.08318,0.404697,0.320822,1.2029,0.527961,0.258927,0.328118
202.666666667,0.279325,2.90537,0.235186,0.0429305,0.454807,1.29142,0.3223,0.0861026,2.14965,0.180937,0.179281,0.373739
202.709333333,0.11699,3.08644,0.295101,0.00786804,0.16466,1.65181,0.123431,0.122648,2.43329,0.140315,0.196301,0.383339
202.752000000,0.0617527,3.83859,0.299658,0,0,1.28931,0.0707498,0.0767225,2.30626,0.0624821,0.22364,0.168239
202.794666667,0,3.71703,0.169257,0,0,1.47917,0.476345,0.0543232,2.32278,0.134821,0.287911,0
202.837333333,0,3.68325,0.147435,0,0.0087264,1.16615,0.505932,0.0754236,2.44836,0.158999,0.23494,0
202.880000000,0,3.66689,0.145988,0,0.00770135,1.13391,0.567173,0.0764388,2.44283,0.148008,0.212637,0
202.922666667,0,3.71428,0.128491,0,0.000434367,1.30166,0.611096,0.0682711,2.39777,0.129012,0.197269,0
202.965333333,0.0620601,3.87652,0.00505671,0,0.0817656,1.38661,0.620953,0.030851,2.45254,0.157792,0.0187014,0.040835
203.008000000,0.0562386,3.98719,0.201448,0.0025631,0.218194,0.563757,0.359718,0.167345,1.88493,0.316879,0.626532,0.207169
203.050666667,0.186778,3.37396,0.0263543,0.00365634,0.377583,0.650768,0.574487,0.0347284,1.63494,0.443091,1.46979,0.206605
203.093333333,0.147879,2.3756,0.170202,0.0832769,0.43571,1.2169,0.407173,0.0338037,1.31902,0.476156,2.11785,0.254109
203.136000000,0.0475277,1.01739,0.88819,0.0719503,0.26944,1.61495,0.331302,0.0335387,0.889477,0.19436,2.77828,0.256832
203.178666667,0.00179008,0.469236,1.0193,0.0448228,0.114384,1.78195,0.329355,0.0449747,0.973184,0.0764926,3.0821,0.241576
203.221333333,0,0.727224,1.23919,0.0257021,0.108501,1.88599,0.233182,0.033947,0.985278,0.0580332,3.14339,0.196144
203.264000000,0,0.767264,1.21416,0,0.0424743,2.0784,0.22043,0.254571,0.934423,0.0907265,3.33893,0.0064714
203.306666667,0,0.627712,1.16427,0,0.0577648,1.88975,0.269115,0.349985,0.822513,0.118006,3.30947,0
203.349333333,0,0.523446,1.22405,0,0.0613091,1.77346,0.282131,0.379163,0.708434,0.12333,3.27598,0
203.392000000,0,0.424026,1.27846,0,0.0549737,1.76205,0.283269,0.403877,0.680437,0.122364,3.27141,0
203.434666667,0,0.443955,1.53,0.00429435,0.10883,1.97421,0.233103,0.0595587,0.64756,0.217368,3.35318,0
203.477333333,0.184583,0.448086,1.33687,0.0272281,0.142406,1.76729,0.18778,0.0558851,0.667136,0.0903712,3.29795,0
203.520000000,0.396766,0.62809,1.3828,0.0664208,0.116619,1.82143,0.0991128,0.050703,0.606862,0.0418044,2.83562,0.107561
203.562666667,0.551414,0.83483,1.26131,0.122682,0.119365,1.80091,0.22081,0.0644066,0.536626,0.0243566,2.51406,0.211635
203.605333333,0.544291,0.92066,1.23477,0.115598,0.257119,1.61464,0.358039,0.12263,0.474549,0.0348823,2.51586,0.166011
203.648000000,0.443526,0.703882,1.28584,0.0807161,0.169629,1.72224,0.223888,0.154883,0.570891,0.0251181,2.67913,0.145377
203.690666667,0.237099,0.374625,1.44216,0.0503003,0.0466909,1.86465,0,0.163335,0.717458,0.0414112,3.09154,0.114395
203.733333333,0,0.246862,1.5116,0.0528737,0.00392338,1.74231,0,0.0590048,0.647806,0.0700512,3.32156,0.0678914
203.776000000,0,0.108316,1.22158,0.069282,0.0679479,1.79558,0.111328,0.264811,0.55958,0.104794,3.42367,0.00898559
203.818666667,0,0.0486292,1.15609,0.097579,0.068974,1.75877,0.182878,0.31079,0.540938,0.117767,3.31034,0.00889083
203.861333333,0.222398,0.0310786,1.07348,0.0445533,0.0601461,1.90122,0.205064,0.328472,0.562734,0.120492,3.23365,0.00791342
203.904000000,0.32812,0.0548686,1.00814,0.0804583,0,2.14132,0.22431,0.315708,0.51327,0.116209,3.24761,0.00483471
203.946666667,0.216603,0.320681,0.905439,0,0,2.3994,0.301959,0,0.487003,0,3.46687,7.69899e-05
203.989333333,0.172956,0.149451,1.32442,0.0924155,0.122957,1.92047,0.321264,0.0287253,0.30971,0.0416249,3.10145,0.0363168
204.032000000,0.152688,0.144613,1.39004,0.0107311,0.106513,1.80283,0.155652,0.0489876,0.347489,0.0505062,2.96374,0.162447
204.074666667,0.0994424,0.141028,1.41645,0.0514983,0.0930873,1.90354,0.156445,0.0504074,0.363917,0.0606579,2.64301,0.176218
204.117333333,0.0243574,0.0231841,1.3831,0.0604201,0.0927945,2.03117,0.16047,0.0504606,0.402223,0.0735153,2.67992,0.164862
204.160000000,0.000739692,0,1.31304,0.0505466,0.114826,1.96541,0.165983,0.0503817,0.430967,0.0917833,3.07017,0.141022
204.202666667,0,0.033154,1.67312,0.0813121,0.0710859,1.81528,0.128101,0.0644502,0.607616,0.0519417,3.1619,0.0909098
204.245333333,0.0546057,0.0796718,1.16884,0.0822403,0.133155,1.70831,0.222459,0.0640153,0.698503,0.0777711,3.00936,0.184296
204.288000000,0.0662007,0.122491,1.28492,0.224638,0.293964,1.64415,0.306792,0.063703,0.584004,0.0481553,2.6374,0.338855
204.330666667,0.0752377,0.19763,1.38086,0.135924,0.351993,1.60387,0.298605,0.0651106,0.483596,0,2.59016,0.392331
204.373333333,0.0833689,0.193117,1.39854,0.0112018,0.26012,1.7051,0.254761,0.0643455,0.474788,0,2.89473,0.28527
204.416000000,0.0792316,0.0761035,1.29702,0.00704112,0.131318,1.75328,0.148248,0.0622525,0.643163,0.00706487,3.09526,0.174306
204.458666667,0.384188,0.00295183,1.23976,0.00317265,0.15437,2.09912,0.1814,0.0452169,0.521257,0.207473,3.13545,0.000436071
204.501333333,0.478728,0.0049541,1.23498,0,0.0906917,2.1246,0.0546177,0.135524,0.455609,0.193835,2.96084,0.0364967
204.544000000,0.451301,0.00382693,1.23765,0,0.270068,2.0811,0.170321,0.269161,0.356832,0.0567886,2.84412,0.180675
204.586666667,0.493664,0,1.18259,0,0.236354,2.10216,0.297255,0.443378,0.348689,0.0428171,2.81721,0.185431
204.629333333,0.399368,0,1.41107,0.0763707,0.154111,2.14661,0.143423,0.413119,0.480241,0,2.77534,0.127077
204.672000000,0.236034,0.0296503,1.76271,0.136598,0.117307,1.79983,0.187554,0.511732,0.480552,0.0297157,2.74668,0.043559
204.714666667,0.0135539,0.21332,1.73606,0.172666,0.238784,1.50038,0.16761,0.737483,0.37324,0.0130665,2.75098,0.223645
204.757333333,0,0.221292,1.53007,0.0259552,0.174252,1.48036,0.205746,0.544043,0.460132,0.0125138,2.92557,0.0233718
204.800000000,0.11219,0.111541,1.29373,0.0519352,0.11378,1.71169,0.250107,0.469011,0.473508,0.0674375,3.15165,0.0269154
204.842666667,0.102422,0.0290879,1.13055,0.0422047,0.112093,1.69802,0.15775,0.467147,0.541284,0.122058,3.44889,0
204.885333333,9.40392e-05,0.0234047,1.19771,0.0394021,0.111862,1.61426,0.134268,0.475136,0.613263,0.0775384,3.54341,5.6876e-05
204.928000000,0.000235358,0.00341964,1.47286,0,0.140483,1.60554,0.326635,0.12957,0.766094,0.00413046,3.51326,0.000285402
204.970666667,0.0216135,0.254788,0.9202,0.270623,0.0864897,1.83659,0.422343,0.0952187,0.362451,0.0975327,3.11103,0
205.013333333,0.326817,0.873964,1.05259,0.105913,0.076991,2.00478,0.359257,0.106703,0.204253,0.332988,2.65812,0.110865
205.056000000,0.187152,0.950775,1.20931,0.166984,0.0726513,2.44614,0.34748,0.0582749,0.21039,0.818175,1.83171,0.19524
205.098666667,0.103597,0.879544,1.14096,0.138289,0.0661176,2.26309,0.35689,0.0562795,0.221443,0.816769,1.98873,0.159573
205.141333333,0.0490042,0.324917,1.12787,0.054794,0.0650847,1.92211,0.344494,0.0573469,0.334966,0.0905955,2.9598,0.133487
205.184000000,0,0.0247313,1.56672,0.0334153,0.0463715,1.73039,0.345901,0.0646941,0.590816,0.0604986,3.26331,0.0817716
205.226666667,0,0.00447055,1.22242,0,0.0488963,1.76788,0.329366,0.494746,0.384089,0.12753,3.43763,0.0188568
205.269333333,0.0336064,0.004976,1.1774,0,0.0483947,1.82821,0.300788,0.540393,0.355735,0.141771,3.46997,0.0110102
205.312000000,0.0278447,0.00479488,1.27145,0,0.0468427,1.82292,0.261896,0.568071,0.388894,0.126539,3.46942,0.0102192
